OID_,ID,Elevation_m_min,Elevation_m_max,Elevation_m_mean,Slope_deg_min,Slope_deg_max,Slope_deg_mean,Aspect_deg_median,Area_m2
1,3,1057,1057,1057.000000000000000,48.325298309326172,48.325298309326172,48.325298309326172,192.370300292968750,90.0703456635
2,4,1067,1067,1067.000000000000000,50.106304168701172,50.106304168701172,50.106304168701172,188.230422973632812,337.822010934
3,6,688,754,715.090909090909122,6.695829391479492,39.582492828369141,24.733858888799496,239.483825683593750,7819.84768678
4,7,719,736,727.500000000000000,20.833511352539062,29.368883132934570,25.101197242736816,201.621452331542969,1418.94909435
5,15,579,590,585.666666666666629,15.884898185729980,21.015983581542969,18.635305722554524,255.358428955078125,1401.4840275
6,17,599,603,601.000000000000000,18.880126953125000,21.602672576904297,20.241399765014648,150.070762634277344,1055.95407764
7,25,600,600,600.000000000000000,32.073440551757812,32.073440551757812,32.073440551757812,187.638214111328125,404.148493971
8,26,600,619,606.666666666666629,32.221637725830078,36.851871490478516,34.389568328857422,176.000564575195312,1134.35757764
9,27,555,583,570.416666666666742,6.593529701232910,24.004964828491211,14.974771340688070,157.413436889648438,9712.90009765
10,30,547,547,547.000000000000000,15.495033264160156,15.495033264160156,15.495033264160156,96.716690063476562,457.326611566
11,35,567,585,577.666666666666629,27.892326354980469,36.645042419433594,31.973651885986328,184.132415771484375,2133.11504016
12,36,527,529,528.000000000000000,19.352958679199219,20.421348571777344,19.887153625488281,194.169998168945312,1927.10693483
13,37,538,555,546.000000000000000,24.830371856689453,29.627796173095703,26.918940067291260,186.930473327636719,1848.87073506
14,38,526,568,550.500000000000000,12.716637611389160,26.774919509887695,21.904076099395752,195.265670776367188,4288.51889822
15,41,521,521,521.000000000000000,13.832764625549316,13.832764625549316,13.832764625549316,42.574256896972656,431.195382571
16,42,543,601,573.666666666666742,22.787115097045898,34.849037170410156,28.765749613444012,151.738327026367188,14743.8173784
17,43,536,536,536.000000000000000,21.175594329833984,22.109003067016602,21.642298698425293,176.940368652343750,1132.57842576
18,44,527,527,527.000000000000000,20.098278045654297,20.098278045654297,20.098278045654297,178.551666259765625,345.206123947
19,45,551,559,555.000000000000000,14.515386581420898,16.926372528076172,15.720879554748535,143.692604064941406,1217.55267089
20,46,536,548,540.600000000000023,4.147497177124023,30.187894821166992,15.985153198242188,333.548736572265625,3333.96871935
21,48,527,596,563.500000000000114,15.864730834960938,38.747043609619141,29.495742003122967,316.953948974609375,9094.75548111
22,52,608,608,608.000000000000000,37.190315246582031,37.190315246582031,37.190315246582031,27.216979980468750,110.619856103
23,55,604,604,604.000000000000000,48.731323242187500,48.731323242187500,48.731323242187500,11.239004135131836,2085.85031616
24,56,499,538,514.500000000000000,5.113189220428467,24.117448806762695,15.159987926483154,150.477912902832031,7919.09907081
25,58,648,648,648.000000000000000,45.769508361816406,45.769508361816406,45.769508361816406,7.765267848968506,468.681152155
26,59,660,676,668.000000000000000,29.947273254394531,35.541332244873047,32.744302749633789,30.372675895690918,630.69928486
27,64,553,642,598.864864864865012,6.502690315246582,40.527565002441406,29.079077565992204,37.902976989746094,26282.5667722
28,66,720,751,740.500000000000000,13.009135246276855,41.789234161376953,27.866536378860474,11.647265434265137,2891.91099934
29,69,486,486,486.000000000000000,17.756593704223633,17.756593704223633,17.756593704223633,69.920135498046875,414.501652753
30,70,517,527,520.333333333333371,17.807399749755859,19.537813186645508,18.538395563761394,191.659240722656250,1927.054381
31,73,478,500,483.899999999999977,2.118392705917358,31.080383300781250,15.481242299079895,67.322620391845703,8096.88221148
32,77,644,656,650.000000000000000,29.162975311279297,30.697866439819336,29.930420875549316,123.411571502685547,1451.11368603
33,78,504,504,504.000000000000000,25.088928222656250,25.088928222656250,25.088928222656250,58.199256896972656,61.5688374349
34,85,503,656,580.100000000000136,7.858129501342773,36.515773773193359,24.522427696651881,76.650630950927734,62495.5969148
35,86,480,482,481.000000000000000,18.975492477416992,21.550394058227539,20.262943267822266,78.035152435302734,1589.72648814
36,87,500,517,508.500000000000000,17.227500915527344,27.263858795166016,22.245679855346680,31.592877388000488,1544.45033816
37,88,620,631,625.500000000000000,27.140407562255859,27.801519393920898,27.470963478088379,64.181453704833984,2050.49512809
38,89,564,569,566.500000000000000,13.990004539489746,22.064483642578125,18.027244091033936,62.253873825073242,1306.65909188
39,90,651,657,654.000000000000000,14.976477622985840,16.313129425048828,15.644803524017334,109.000045776367188,1909.1086009
40,92,480,480,480.000000000000000,21.935871124267578,21.935871124267578,21.935871124267578,3.952287435531616,55.5571137182
41,95,511,541,524.899999999999977,15.501076698303223,21.740482330322266,18.869880008697510,40.259629249572754,7131.6237587
42,101,516,630,581.437500000000114,13.763770103454590,41.618839263916016,30.870215356349942,49.143344879150391,11421.4970731
43,108,430,430,430.000000000000000,22.286552429199219,22.286552429199219,22.286552429199219,243.102096557617188,583.19292358
44,113,414,421,417.250000000000000,4.745307922363281,8.694424629211426,6.300595402717590,164.962051391601562,3097.65404738
45,115,447,503,481.181818181818187,15.776526451110840,34.559078216552734,23.708109508861199,113.158172607421875,7377.72635816
46,116,412,412,412.000000000000000,6.643033027648926,6.643033027648926,6.643033027648926,204.651824951171875,662.26386008
47,118,429,429,429.000000000000000,19.992494583129883,19.992494583129883,19.992494583129883,219.012145996093750,544.100893835
48,119,556,571,563.500000000000000,27.961582183837891,29.782657623291016,28.872119903564453,244.599624633789062,1256.26466859
49,124,414,427,419.600000000000023,16.826436996459961,26.213859558105469,21.469621276855470,235.631881713867188,2934.15590664
50,125,547,554,550.500000000000000,21.003036499023438,23.485263824462891,22.244150161743164,228.991409301757812,1348.32865113
51,126,559,559,559.000000000000000,21.120460510253906,21.120460510253906,21.120460510253906,224.480392456054688,1244.1589264
52,130,418,430,424.000000000000000,23.190864562988281,27.800691604614258,25.495778083801270,263.014114379882812,1964.57454983
53,131,519,519,519.000000000000000,20.772031784057617,20.772031784057617,20.772031784057617,345.880889892578125,777.810639563
54,132,448,448,448.000000000000000,35.760341644287109,35.760341644287109,35.760341644287109,278.376464843750000,600.624400765
55,136,449,449,449.000000000000000,26.340990066528320,26.340990066528320,26.340990066528320,88.943374633789062,868.393166911
56,138,397,397,397.000000000000000,8.119603157043457,8.119603157043457,8.119603157043457,106.934211730957031,471.457099829
57,139,424,424,424.000000000000000,22.563398361206055,22.563398361206055,22.563398361206055,97.706604003906250,505.498822791
58,144,402,402,402.000000000000000,16.508213043212891,16.508213043212891,16.508213043212891,272.450408935546875,433.851968608
59,147,411,485,450.652173913043555,18.551057815551758,38.918987274169922,30.437839342200235,272.433410644531250,16413.9847341
60,151,504,508,506.333333333333314,10.798683166503906,13.878414154052734,12.481840133666992,201.559783935546875,1783.50531751
61,153,486,486,486.000000000000000,42.360591888427734,42.360591888427734,42.360591888427734,280.181457519531250,1193.35797109
62,156,530,530,530.000000000000000,28.705070495605469,28.705070495605469,28.705070495605469,274.508666992187500,211.517312176
63,160,682,682,682.000000000000000,18.257406234741211,18.257406234741211,18.257406234741211,108.816215515136719,39.7131102104
64,163,679,689,684.000000000000000,20.159479141235352,21.572320938110352,20.865900039672852,104.399314880371094,848.145448756
65,171,424,517,456.000000000000000,18.199127197265625,57.589244842529297,38.635719656944275,265.260864257812500,12877.3135399
66,175,474,474,474.000000000000000,31.814558029174805,31.814558029174805,31.814558029174805,248.187500000000000,672.517365609
67,182,390,448,417.750000000000000,21.582347869873047,36.198890686035156,29.900261163711548,268.482879638671875,6471.72480739
68,186,385,396,390.500000000000000,18.542385101318359,26.082544326782227,22.312464714050293,281.098083496093750,576.210584896
69,188,547,547,547.000000000000000,8.192308425903320,8.192308425903320,8.192308425903320,95.049652099609375,128.373380137
70,190,545,548,546.500000000000000,10.672023773193359,12.051517486572266,11.361770629882812,330.914596557617188,637.211676449
71,199,368,368,368.000000000000000,18.699468612670898,18.699468612670898,18.699468612670898,219.968856811523438,614.022329627
72,200,560,560,560.000000000000000,8.049937248229980,8.049937248229980,8.049937248229980,306.739990234375000,943.249918878
73,201,524,558,544.666666666666629,14.494633674621582,30.342439651489258,20.189420594109428,152.455017089843750,6312.82732719
74,205,693,698,694.666666666666629,24.514553070068359,29.400749206542969,27.684131622314453,170.446838378906250,459.912003493
75,206,625,637,631.000000000000000,16.357517242431641,20.070835113525391,18.214176177978516,241.165077209472656,409.471315018
76,210,467,489,478.800000000000011,19.089324951171875,26.071210861206055,22.774854278564455,226.719741821289062,2874.97283115
77,216,475,504,488.750000000000000,23.809118270874023,30.855840682983398,27.836179733276367,296.083465576171875,1747.02971948
78,217,467,481,475.285714285714334,3.976587057113647,15.468825340270996,9.990809542792185,42.608333587646484,4979.01491764
79,218,354,465,392.236363636363535,2.240714073181152,40.156604766845703,24.951100063323974,234.328094482421875,38813.331695
80,225,451,461,456.166666666666686,5.791105270385742,15.722322463989258,10.181798299153646,85.231224060058594,4553.24680523
81,226,386,398,391.666666666666686,15.467081069946289,22.286010742187500,19.391337076822918,96.035133361816406,4524.62199842
82,229,351,477,399.791666666666686,3.590713262557983,51.633224487304688,34.652976860602706,270.941726684570312,19704.1210332
83,233,412,423,417.500000000000000,19.243417739868164,22.425092697143555,20.834255218505859,261.775894165039062,1050.59213941
84,237,345,414,358.058823529411711,3.968106508255005,50.634807586669922,21.744412941091202,265.212066650390625,13335.0959669
85,248,346,400,359.571428571428612,4.707091808319092,46.161304473876953,21.296919039317540,259.012756347656250,11560.9696797
86,249,612,612,612.000000000000000,10.881273269653320,10.881273269653320,10.881273269653320,105.749198913574219,318.667507492
87,254,564,574,569.333333333333371,12.501118659973145,16.281538009643555,14.749538739522299,257.948699951171875,3445.42093427
88,256,656,656,656.000000000000000,33.499000549316406,33.499000549316406,33.499000549316406,158.691802978515625,108.433393657
89,259,550,550,550.000000000000000,12.471499443054199,12.471499443054199,12.471499443054199,162.347579956054688,134.546709501
90,260,610,610,610.000000000000000,6.628006935119629,6.628006935119629,6.628006935119629,45.765647888183594,210.871320039
91,276,346,364,355.000000000000000,21.650293350219727,24.519718170166016,22.611619949340820,112.991928100585938,2083.00122345
92,280,344,344,344.000000000000000,28.341373443603516,28.341373443603516,28.341373443603516,77.853828430175781,1169.29776838
93,283,655,655,655.000000000000000,42.115795135498047,42.115795135498047,42.115795135498047,307.776672363281250,465.047333518
94,285,423,431,426.666666666666686,16.326427459716797,19.685655593872070,18.332791646321613,117.836761474609375,2086.65332263
95,286,596,596,596.000000000000000,18.386808395385742,18.386808395385742,18.386808395385742,104.744850158691406,252.142357813
96,290,381,400,391.250000000000000,23.430574417114258,28.482105255126953,26.257652282714844,134.361793518066406,2863.62000865
