OID_,mean_elev,std_elev,Mean_slope,STD_slope,Mean_aspect,STD_aspect,Area_m2,mean_plan_curv,std_plan_curv
1,3252.339375813801780,57.384992035918920,37.595946232477829,19.368618142268172,74.851616541544601,29.960804511458420,10651.531422800000655,-4.78E-03,1.85026430555487E-02
2,3078.336842854817405,60.787115664945077,35.757980863253280,13.253768358564832,128.321655909220397,49.241398521489970,23066.224278500001674,6.42950467105646E-04,2.12594564840514E-02
3,3152.542968750000000,4.079101562500000,31.109871864318848,1.194231986999512,144.270347595214844,11.671302795410156,1226.283120589999953,-2.08E-02,2.77404140215367E-02
4,3008.743977864583940,35.077665131784443,28.761303000979954,17.585740796720668,150.354631635877809,59.550695344219939,15968.380723899999794,-1.15E-02,2.24188075681301E-02
5,3117.994140625000000,52.605630167221065,40.584861278533936,4.073522511786634,279.451148986816406,6.842600101301522,6090.388721209999858,1.03436126846646E-03,4.8368032369377E-03
6,3069.493041992187500,13.040649414062500,39.890254974365234,1.010879516601562,279.763031005859375,4.217254638671875,1529.710665849999941,-6.69E-05,9.11264563910663E-04
7,3103.028259277343750,31.550591819686172,45.602273464202881,12.081583978541387,117.796670913696289,5.351806861737740,5126.684649519999766,-4.14E-03,4.66535576843622E-03
8,3292.557958984375091,108.213269554073008,43.042988586425778,7.283247032973438,67.791577911376947,6.734177256503406,5168.486049420000199,5.80442218342796E-03,6.59254528532998E-03
9,3320.383219401041515,12.035868083457560,37.235284169514976,4.237064824090625,177.090418497721345,9.091660852250717,1824.700420729999905,-5.85E-03,5.1814178781588E-03
10,3290.453857421875000,0,36.091693878173828,0,150.349334716796875,0,998.661159845000043,-1.38E-02,0
11,3269.969116210937500,7.902954101562500,35.376217842102051,9.536913871765137,160.882011413574219,15.586433410644531,1248.023213219999889,-9.64E-03,8.88539740117267E-03
12,3240.302001953125000,7.531738281250000,29.866657257080078,7.331100463867188,159.224617004394531,17.910270690917969,866.833751473000007,-1.49E-02,1.66334709501825E-02
13,3520.612792968750000,51.760628471784294,50.009850502014160,4.561252408193423,94.954986572265625,16.992259049376283,4110.681314929999644,4.37562691513449E-03,7.90346499438401E-03
14,4014.438903808593750,73.532585497978346,48.410403251647949,4.878815127337694,178.117481231689453,17.456765508082110,5443.885781590000079,-3.08E-03,2.35620096073354E-03
15,3438.700439453125000,24.215576171875000,48.239694595336914,4.615392684936523,269.279075622558594,27.136878967285156,2287.255380550000154,0.011762906,2.5897747837007E-03
16,4662.969055175781250,56.176591124438374,11.967319756746292,7.806851115099650,68.617144942283630,70.714790245945210,7900.365974440000173,-3.21E-03,0.023089093
17,3011.862516276041788,54.806220458648909,42.791440963745110,7.539053908317265,124.547090657552090,3.450161204949216,12268.636967799999184,5.74675243115052E-04,6.65936235267896E-03
18,2996.188693576388687,36.467336239079039,42.644320805867515,13.806566681543666,107.463646782769104,12.920414223268645,7583.382873939999627,8.58324437609149E-04,6.2972342178803E-03
19,3081.999135335286610,101.476112747521555,51.784531195958458,8.517011528270494,106.080924352010086,43.380190255087236,19404.308817000001000,-2.16E-03,1.59323452229859E-02
20,2391.632501775568016,67.015780401096563,38.350043470209293,8.686471914964937,67.296847343444824,23.214961615765226,19000.627271800000017,-1.21E-02,1.06120556568103E-02
21,2581.004359654018117,92.771547602667113,47.607193265642437,3.497985832179230,70.317941665649414,26.882887196113089,10740.160511899999619,6.45903508744336E-03,1.14319653797541E-02
22,2629.191124549278811,90.420553999333166,43.467892646789544,6.488668521983524,68.109505873460023,39.605617295339812,21448.099956499998370,-1.46E-03,1.52560785755817E-02
23,2919.636067708333485,34.276664552592031,42.616004943847656,4.206876217670373,50.524344126383461,6.245372933942599,2164.279749809999885,8.43627114469806E-03,3.54740228169259E-03
24,2736.163203798491850,187.602316041232342,38.450488090515137,8.748360703673050,78.136524463522036,31.287547309321941,26639.809450600001583,-1.88E-04,1.25485525171278E-02
25,2772.025365369072915,175.451858611695656,44.318084453714299,6.668970417795054,89.652417807743490,50.748912814143033,21814.841381599999295,-1.45E-03,0.011116167
26,2783.175023129112105,118.032041020935310,44.299408360531459,4.154651164243351,65.128892396625716,29.566374575300284,18179.709250299998530,-5.71E-03,1.02017231256645E-02
27,2788.910958426339221,17.407342401345108,53.839549473353792,4.856216918046894,127.366586957659052,8.410610024111039,5909.640875379999670,-2.23E-03,5.59826316256107E-03
28,3455.176757812500000,43.498779296875000,50.208782196044922,1.539924621582031,148.174865722656250,6.142379760742188,2196.204994939999779,1.09194365795702E-02,4.45834384299815E-03
29,3128.314453125000000,0,34.471511840820312,0,102.194572448730469,0,1059.806370320000042,5.99808804690838E-03,0
30,3011.933593750000000,52.675469618627332,39.328819910685226,10.316103098604227,101.800417582194015,25.974568654911696,9468.912506799999392,-1.25E-03,1.01023377505784E-02
31,3081.203564453125182,41.789871206112423,49.507881927490232,3.374311563986954,95.239958190917974,27.704923482227915,3579.816617909999877,1.56315181520768E-03,4.00414478442848E-03
32,3240.779337565104015,37.573851450353288,43.393405914306634,5.666681635244093,93.617215792338058,42.641197981597799,21112.022387199998775,-9.39E-03,1.61717223069463E-02
33,3365.153035481770985,76.518278818744349,44.600373586018875,5.989608219214238,90.120964686075851,35.130154904009814,5137.428300730000046,1.28895801996502E-02,2.62491527975085E-02
34,3411.412803649902798,75.516821175832575,42.521150469779954,5.464868872122084,79.176652312278762,23.300104282125847,26587.995514400001412,-7.58E-04,1.13903853704596E-02
35,3327.959635416666515,55.045019095695523,49.027174631754555,3.325864684120541,71.887205759684250,9.125486640459085,2700.973171539999839,-4.39E-03,5.53219749067113E-03
36,2854.473247327303397,52.879969627892038,39.635299180683340,7.543912233464106,200.804698743318255,7.527143299546076,16246.790114499999618,5.74123849602122E-04,8.25464074990732E-03
37,3007.418688322368325,92.341439281848977,53.652820587158210,6.650410876556915,153.840358131810206,38.622417576594529,17603.533414300000004,-2.01E-03,0.011698894
38,2742.616557772197666,197.220020220633359,43.389013335818305,10.211182209508859,129.500627608526287,44.990567001107081,110661.898828999997932,1.96836283372711E-03,1.13980527671539E-02
39,2613.441048177083303,68.229778580823492,42.563692220052083,11.462371190925538,128.803913879394543,15.982087975732327,13136.164944800000740,-4.15E-03,9.86019851748006E-03
40,2816.472167968750000,0,50.850757598876953,0,132.452209472656250,0,1306.763750009999967,5.98759902641177E-03,0
41,2926.093017578125000,27.771076646625104,41.642767906188965,6.109411200240671,89.447042465209961,8.865558840961526,2769.848628669999925,3.48315608789562E-03,3.05598809645974E-03
42,3043.352504185268117,89.522822697591238,54.177598135811941,6.334461152121635,188.123535156250000,9.820408622214178,7120.644607670000369,-4.11E-03,2.83866193160581E-03
43,3325.390218098958485,64.000226771626302,44.275360743204750,6.508769526167258,50.952200571695961,12.326666058297929,3519.807299040000089,-1.58E-03,6.05572049402886E-03
44,3083.537109375000000,22.152002011298180,43.696056365966797,3.058895111710514,90.329666137695312,6.198314498563632,2558.846915829999944,-7.00E-04,5.89930544122562E-03
45,2940.733978271484375,83.405294162285060,57.333012104034424,6.789873100910806,123.620779037475586,5.332384059204204,8431.774169160000383,5.89460892297211E-03,5.57753883411749E-03
46,2852.846386718750182,34.160280837008997,46.969174957275392,6.479432629978024,105.312876892089847,52.872701182714586,4063.460054220000075,3.5284459227114E-03,1.09345810599149E-02
47,2449.461157226563046,78.785472597104132,32.056578445434575,8.801578238229933,78.044311779737484,106.355172429885968,7549.218649340000411,1.30737326107919E-02,1.54215638531988E-02
48,2763.227213541666515,40.313720428531006,56.602226257324219,3.946881046358020,117.837921142578125,10.040652962252155,1367.846822290000091,9.34715305144588E-04,4.83394866376775E-03
49,2518.001174200148853,91.817128777585793,50.550388608660015,13.497107579953154,127.403578985305060,8.678380116854354,18671.507011000001512,1.39738129274476E-03,7.85829172001166E-03
50,2477.123942057291970,44.276813817154100,50.468015670776367,9.338494388763777,126.665317535400376,3.998785034629758,4457.935672010000417,6.20468868874014E-04,5.17238516253599E-03
51,2527.012451171875000,0,63.332054138183594,0,129.344100952148438,0,1520.344737350000059,-2.47E-03,0
52,2674.236572265625000,25.179381015674700,53.700300852457680,1.414116433070383,114.843620300292969,2.113372436345077,1013.699547739999957,7.74825108237565E-04,3.77503756388323E-03
53,2619.524881998697765,63.011483663173500,31.545356386570347,20.118238684965185,71.869623819986970,39.095088196568618,11128.408530700000483,3.33976207475644E-02,4.87481075111324E-02
54,3077.960571289062500,34.427856445312500,47.150735855102539,3.851449966430664,169.314285278320312,1.142272949218750,1336.216917599999988,-0.011750512,5.80232357606292E-03
