OID,area_m2,length_m,width_m,name
36679,840.9889751,54,27,Roback2017_Gorkha
36680,4144.046572,199,60,Roback2017_Gorkha
36681,671.8975118,54,24,Roback2017_Gorkha
36682,1034.313437,57,29,Roback2017_Gorkha
36683,900.8659555,83,16,Roback2017_Gorkha
36684,483.9692956,47,18,Roback2017_Gorkha
36685,2660.810978,211,54,Roback2017_Gorkha
36686,6573.035645,294,37,Roback2017_Gorkha
36687,7954.018039,358,48,Roback2017_Gorkha
36688,5204.849288,142,59,Roback2017_Gorkha
36689,11378.86659,237,144,Roback2017_Gorkha
36690,4984.513717,416,42,Roback2017_Gorkha
36691,799.9799687,73,26,Roback2017_Gorkha
36692,3868.51027,156,63,Roback2017_Gorkha
36693,11159.53478,582,119,Roback2017_Gorkha
36694,4483.754678,509,32,Roback2017_Gorkha
36695,1247.334883,106,16,Roback2017_Gorkha
36696,652.2671927,59,14,Roback2017_Gorkha
36697,894.6318226,67,17,Roback2017_Gorkha
36698,1131.154832,86,26,Roback2017_Gorkha
36699,3170.432177,173,48,Roback2017_Gorkha
36700,3346.515877,204,45,Roback2017_Gorkha
36701,540.950019,52,13,Roback2017_Gorkha
36702,23550.93698,350,159,Roback2017_Gorkha
36703,8283.285457,507,123,Roback2017_Gorkha
36704,3640.642735,157,62,Roback2017_Gorkha
36705,652.4460113,49,23,Roback2017_Gorkha
36706,10131.68383,262,89,Roback2017_Gorkha
36707,5591.298434,253,40,Roback2017_Gorkha
36708,9287.126227,409,73,Roback2017_Gorkha
36709,10532.42316,157,94,Roback2017_Gorkha
36710,2704.572259,196,33,Roback2017_Gorkha
36711,1330.189982,81,24,Roback2017_Gorkha
36712,4079.186968,248,55,Roback2017_Gorkha
36713,10143.57301,321,156,Roback2017_Gorkha
36714,17914.11455,263,161,Roback2017_Gorkha
36715,7517.635342,186,84,Roback2017_Gorkha
36716,5315.796384,315,104,Roback2017_Gorkha
36717,6844.854729,231,77,Roback2017_Gorkha
36718,2128.796754,152,29,Roback2017_Gorkha
36719,2045.371907,157,33,Roback2017_Gorkha
36720,4674.563517,421,54,Roback2017_Gorkha
36721,3259.767053,217,53,Roback2017_Gorkha
36722,4394.431478,241,64,Roback2017_Gorkha
36723,1072.804591,84,20,Roback2017_Gorkha
36724,901.0868533,107,18,Roback2017_Gorkha
36725,18017.72414,276,228,Roback2017_Gorkha
36726,12350.75519,224,104,Roback2017_Gorkha
36727,2246.628108,183,51,Roback2017_Gorkha
36728,2070.85632,201,46,Roback2017_Gorkha
36729,3751.490957,98,51,Roback2017_Gorkha
36730,3976.935636,217,30,Roback2017_Gorkha
36731,1230.050918,70,23,Roback2017_Gorkha
36732,37231.23093,983,269,Roback2017_Gorkha
36733,599.6865479,34,23,Roback2017_Gorkha
36734,1398.917045,92,22,Roback2017_Gorkha
36735,4058.196252,233,40,Roback2017_Gorkha
36736,1709.84718,238,33,Roback2017_Gorkha
36737,5214.051396,166,49,Roback2017_Gorkha
36738,1260.724885,129,25,Roback2017_Gorkha
36739,1587.815231,128,26,Roback2017_Gorkha
36740,2611.742268,224,19,Roback2017_Gorkha
36741,6655.584762,293,67,Roback2017_Gorkha
36742,20417.84816,657,163,Roback2017_Gorkha
36743,15271.51975,456,135,Roback2017_Gorkha
36744,7774.489758,381,70,Roback2017_Gorkha
36745,2184.215971,103,29,Roback2017_Gorkha
36746,7479.442397,300,41,Roback2017_Gorkha
36747,905.9881257,55,20,Roback2017_Gorkha
36748,996.0794105,170,21,Roback2017_Gorkha
36749,1009.670696,74,18,Roback2017_Gorkha
36750,401.6746896,26,20,Roback2017_Gorkha
36751,1982.299485,168,37,Roback2017_Gorkha
36752,2948.285058,306,28,Roback2017_Gorkha
36753,2928.680607,180,36,Roback2017_Gorkha
36754,345.2018272,40,14,Roback2017_Gorkha
36755,677.0865816,78,12,Roback2017_Gorkha
36756,2641.873432,196,34,Roback2017_Gorkha
