OID_,Id,area_m2,length_m,width_m
1704,0,196620.2269,978,447
1705,0,4621.425013,150,48
1706,0,36350.87915,507,132
1707,0,5463.720605,159,55
1708,0,32747.66856,307,194
1709,0,9267.491653,192,74
1710,0,2141.581344,84,36
1711,0,3900.097406,104,58
1712,0,3532.713159,78,66
1713,0,2916.357479,115,39
1714,0,2965.395716,101,43
1715,0,23163.12876,258,140
1716,0,3334.180055,82,55
1717,0,6328.137656,119,80
1718,0,1174.39751,62,28
1719,0,1000.506033,64,26
1720,0,3165.328911,90,52
1721,0,5879.513047,195,70
1722,0,20669.7392,279,121
1723,0,1066.695402,57,25
1724,0,2329.40374,107,32
1725,0,3822.252268,79,61
1726,0,2706.553632,85,49
1727,0,749.2682016,57,20
1728,0,412.3709664,32,19
1729,0,6890.204752,234,54
1730,0,5300.224814,142,54
1731,0,6589.184885,262,59
1732,0,36893.30995,610,173
1733,0,13937.58681,231,117
1734,0,18762.1133,311,106
1735,0,2119.827408,99,38
1736,0,4589.240389,138,49
1737,0,7237.602681,260,54
1738,0,5714.56466,162,50
1739,0,2074.54317,73,46
1740,0,1607.262329,87,34
1741,0,2173.64346,77,35
1742,0,100001.6001,616,258
